id,name,address,ExtendedData,longitude,latitude
165,881 9 AV,"881 9 AV, New York, NY 10019, USA",1 rack,-73.985594,40.768122
166,883 10 AV,"883 10 AV, New York, NY 10019, USA",1 rack,-73.988286,40.769517
167,883 9 AV,"883 9 AV, New York, NY 10019, USA",1 rack,-73.985713,40.768211
168,885 10 AV,"885 10 AV, New York, NY 10019, USA",2 racks,-73.988417,40.769612
169,886 9 AV,"886 9 AV, New York, NY 10019, USA",2 racks,-73.985319,40.768225
170,889 9 AV,"889 9 AV, New York, NY 10019, USA",1 rack,-73.985588,40.768431
171,891 9 AV,"891 9 AV, New York, NY 10019, USA",1 rack,-73.985537,40.7685
172,892 9 AV,"892 9 AV, New York, NY 10019, USA",2 racks,-73.985144,40.768306
173,899 10 AV,"899 10 AV, New York, NY 10019, USA",2 racks,-73.988465,40.770362
174,899 8 AV,"899 8 AV, New York, NY 10019, USA",2 racks,-73.984504,40.764536
175,900 8 AV,"900 8 AV, New York, NY 10019, USA",2 racks,-73.984391,40.764635
176,909 7 AV,"909 7 AV, Manhattan, NY 10019, USA",1 rack,-73.979736,40.765931
177,911 8 AV,"911 8 AV, New York, NY 10019, USA",1 rack,-73.984382,40.764953
178,925 9 AV,"925 9 AV, New York, NY 10019, USA",1 rack,-73.985126,40.769297
179,941 8 AV,"941 8 AV, New York, NY 10019, USA",1 rack,-73.98349,40.765907
180,959 8 AV,"959 8 AV, New York, NY 10019, USA",1 rack,-73.983764,40.766542
